Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Loudoun United - Detroit City 0:4,United States. USL Championship,2022-10-02,LCMF,78,63,38,0,0,0,0,0,32,28,2,2,0,0,2,1,18,10,1,0,3,8,4,10,3,0,0
Detroit City - FC Tulsa 2:2,United States. USL Championship,2022-09-25,RCMF,15,15,9,0,0,0,0,0,10,9,1,0,0,0,0,0,3,0,2,0,2,0,0,1,0,0,0
Tampa Bay Rowdies - Detroit City 1:0,United States. USL Championship,2022-08-07,"LCMF, RCMF",98,67,46,0,0,1,0,0.02,44,32,4,1,1,0,2,1,14,11,1,1,2,12,7,11,6,0,0
Detroit City - New Mexico United 2:2,United States. USL Championship,2022-07-24,"LCMF, RCMF",97,55,32,0,0,0,0,0,28,22,2,0,0,0,0,0,17,10,1,0,6,12,4,8,4,76,0
Monterey Bay FC - Detroit City 0:0,United States. USL Championship,2022-07-17,LCMF,92,83,63,0,0,1,0,0,64,57,3,0,0,0,0,0,11,6,1,0,2,9,5,8,4,74,0
Indy Eleven - Detroit City 0:1,United States. USL Championship,2022-07-10,"LCB3, LCMF",97,44,31,0,0,0,0,0,29,26,2,1,0,0,0,0,9,5,0,0,2,4,2,5,4,0,0
Detroit City - Hartford Athletic 1:1,United States. USL Championship,2022-07-07,LCMF,98,74,59,0,0,1,0,0,53,47,3,1,1,1,1,0,13,10,1,1,3,5,1,12,6,0,0
Las Vegas Lights - Detroit City 0:1,United States. USL Championship,2022-07-03,LCMF,97,61,46,0,0,0,0,0,41,35,2,2,0,0,0,0,12,10,1,1,0,5,1,12,5,0,0
Memphis 901 - Detroit City 2:0,United States. USL Championship,2022-06-26,"LCMF, RCMF",99,64,41,0,0,0,0,0,38,29,1,0,0,0,4,2,24,12,1,1,5,11,5,6,2,0,0
Detroit City - El Paso Locomotive 1:1,United States. USL Championship,2022-06-18,RCMF,95,57,37,0,0,2,1,0.04,33,28,4,3,1,0,2,1,17,8,0,0,4,6,4,14,9,29,0
Detroit City - Sacramento Republic 0:2,United States. USL Championship,2022-06-12,LCMF,96,77,48,0,0,1,1,0.03,55,44,2,1,0,0,0,0,11,3,2,0,6,15,8,13,6,0,0
Pittsburgh Riverhounds - Detroit City 1:1,United States. USL Championship,2022-06-05,LCMF,97,63,43,0,0,1,0,0.02,37,28,7,4,1,1,1,0,23,14,1,1,4,12,4,10,3,0,0
Detroit City - Atlanta United II 3:1,United States. USL Championship,2022-05-22,LCMF,83,45,26,0,0,1,0,0.03,24,19,1,1,0,0,2,1,14,7,1,0,2,6,1,5,2,54,0
Miami - Detroit City 1:1,United States. USL Championship,2022-05-19,RCMF,99,67,48,0,0,0,0,0,45,38,7,4,0,0,1,1,18,10,1,0,1,8,3,5,2,0,0
Detroit City - Loudoun United 4:2,United States. USL Championship,2022-05-15,LCMF,95,53,41,0,0,3,0,0.02,36,31,4,2,0,0,2,2,13,9,2,2,0,6,5,8,3,0,0
Detroit City - Louisville City 1:1 (P),United States. US Open Cup,2022-05-11,"LCMF, RCMF",128,55,29,0,0,0,0,0,24,18,3,2,0,0,0,0,19,11,5,3,3,9,5,15,5,0,0
FC Tulsa - Detroit City 3:1,United States. USL Championship,2022-05-08,LCMF,98,58,33,0,0,0,0,0,35,26,2,1,0,0,0,0,14,7,2,1,4,7,3,10,6,0,0
Detroit City - New York RB II 2:0,United States. USL Championship,2022-04-30,LCMF,98,59,35,0,0,1,0,0,29,17,4,1,0,0,0,0,24,17,1,1,3,14,8,9,4,88,0
Hartford Athletic - Detroit City 1:2,United States. USL Championship,2022-04-24,RCMF,96,59,46,0,0,3,2,0.13,42,40,1,1,0,0,1,1,6,4,1,0,1,2,1,5,2,0,0
Detroit City - Columbus Crew 2:1,United States. US Open Cup,2022-04-20,LCMF,81,44,25,0,0,2,0,0.11,23,20,0,0,0,0,1,0,16,5,3,2,1,6,5,10,3,0,0
Detroit City - Birmingham Legion 1:0,United States. USL Championship,2022-04-16,"DMF, LCMF",98,72,45,0,0,0,0,0,44,33,4,2,0,0,2,1,21,11,2,1,6,13,6,15,3,0,0
