Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Long passes / accurate,,Short passes / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Rio Grande Valley - Louisville City 0:1,United States. USL Championship,2022-10-02,GK,97,0,0.18,2,2,1,1,10,7,10,9,9,1,8
Louisville City - Memphis 901 1:2,United States. USL Championship,2022-09-24,GK,102,2,1.37,3,1,0,0,5,3,25,25,5,3,2
Louisville City - Loudoun United 4:2,United States. USL Championship,2022-09-18,GK,95,2,0.69,2,0,0,0,13,11,23,23,0,0,0
Pittsburgh Riverhounds - Louisville City 0:0,United States. USL Championship,2022-09-11,GK,100,0,0,2,2,2,5,10,6,23,23,6,2,4
FC Tulsa - Louisville City 2:2,United States. USL Championship,2022-09-08,GK,97,2,2.17,5,3,3,1,6,3,21,21,9,6,3
Louisville City - Sacramento Republic 3:1,United States. USL Championship,2022-09-04,GK,97,1,0.79,2,1,0,2,7,5,18,18,5,1,4
Indy Eleven - Louisville City 2:1,United States. USL Championship,2022-09-01,GK,102,2,2.57,6,4,3,0,11,7,14,14,2,0,2
Miami - Louisville City 1:0,United States. USL Championship,2022-08-28,GK,99,1,0.79,2,1,1,0,2,2,22,22,3,2,1
Detroit City - Louisville City 0:1,United States. USL Championship,2022-08-21,GK,97,0,0.21,4,4,3,4,9,6,7,7,12,3,9
Louisville City - Tampa Bay Rowdies 1:0,United States. USL Championship,2022-08-14,GK,95,0,0,0,0,0,1,10,8,14,14,7,3,4
Louisville City - Charleston Battery 4:1,United States. USL Championship,2022-08-07,GK,94,1,0.71,1,0,0,1,10,7,25,25,1,0,1
El Paso Locomotive - Louisville City 0:1,United States. USL Championship,2022-07-31,GK,95,0,0.96,3,3,1,0,12,6,16,16,8,2,6
Louisville City - Phoenix Rising 0:0,United States. USL Championship,2022-07-21,GK,109,0,0.44,4,4,3,5,10,8,22,21,5,4,1
Memphis 901 - Louisville City 1:2,United States. USL Championship,2022-07-17,GK,100,1,1.3,2,1,1,0,10,7,9,9,6,1,5
Tampa Bay Rowdies - Louisville City 1:0,United States. USL Championship,2022-06-06,GK,9,0,0,0,0,0,0,2,0,0,0,0,0,0
Louisville City - FC Tulsa 4:1,United States. USL Championship,2022-05-28,GK,98,1,0.48,2,1,1,2,4,3,18,17,6,2,4
Louisville City - Nashville SC 1:2,United States. US Open Cup,2022-05-26,GK,99,2,1.93,4,2,2,0,11,6,19,18,5,3,2
Louisville City - Monterey Bay FC 0:2,United States. USL Championship,2022-05-22,GK,99,2,2.11,4,2,1,0,1,1,9,9,2,2,0
Detroit City - Louisville City 1:1 (P),United States. US Open Cup,2022-05-11,GK,128,1,1.07,5,4,4,2,9,6,22,22,9,4,5
Atlanta United II - Louisville City 0:4,United States. USL Championship,2022-05-05,GK,92,0,0.42,2,2,2,1,14,8,22,22,8,6,2
Louisville City - Pittsburgh Riverhounds 2:0,United States. USL Championship,2022-05-01,GK,93,0,0.02,1,1,1,0,5,3,17,17,5,2,3
Charleston Battery - Louisville City 1:1,United States. USL Championship,2022-04-23,GK,101,1,1.24,5,4,4,5,14,9,22,22,3,1,2
Louisville City - St. Louis City II (P) 0:0,United States. US Open Cup,2022-04-21,GK,127,0,0.19,1,1,1,1,31,18,28,27,9,1,8
San Diego Loyal - Louisville City 2:5,United States. USL Championship,2022-04-17,GK,100,2,1.45,5,3,2,2,7,6,11,11,9,1,8
Loudoun United - Louisville City 0:2,United States. USL Championship,2022-04-10,GK,94,0,0.36,1,1,0,4,11,4,18,17,4,0,4
Louisville City - Chattanooga Red Wolves 1:0,United States. US Open Cup,2022-04-07,GK,93,0,0.72,2,2,2,0,8,7,19,19,5,3,2
Birmingham Legion - Louisville City 0:0,United States. USL Championship,2022-04-03,GK,96,0,0.6,6,6,3,1,6,4,15,15,8,2,6
Louisville City - Indy Eleven 1:1,United States. USL Championship,2022-03-27,GK,100,1,1.33,2,1,1,0,11,7,12,11,5,3,2
New York RB II - Louisville City 0:2,United States. USL Championship,2022-03-24,GK,96,0,0.22,1,1,1,0,14,8,19,19,8,3,5
Louisville City - Miami 2:0,United States. USL Championship,2022-03-20,GK,95,0,0.36,2,2,0,0,11,7,15,15,7,0,7
Louisville City - Atlanta United II 1:0,United States. USL Championship,2022-03-13,GK,96,0,0.12,1,1,0,1,10,5,14,14,7,3,4
CF Montréal - Houston Dynamo 2:0,United States. MLS,2021-11-04,GK,93,2,1.86,7,5,3,2,8,4,12,12,9,6,3
OKC Energy - Memphis 901 4:1,United States. USL Championship,2021-08-08,GK,99,4,2.53,10,6,2,2,6,4,6,6,8,1,7
Sporting KC II - Memphis 901 1:2,United States. USL Championship,2021-08-01,GK,96,1,1.69,5,4,3,4,10,8,18,18,14,0,14
Memphis 901 - FC Tulsa 1:0,United States. USL Championship,2021-07-25,GK,106,0,0.5,2,2,2,3,10,8,8,8,7,0,7
Indy Eleven - Memphis 901 1:1,United States. USL Championship,2021-07-18,GK,93,1,1.39,5,4,3,3,12,8,5,5,6,0,6
Birmingham Legion - Memphis 901 0:1,United States. USL Championship,2021-07-11,GK,98,0,1.61,8,8,5,5,7,5,10,10,11,0,11
Louisville City - Saint Louis 2:0,United States. USL Championship,2020-10-18,GK,99,2,1.17,6,4,3,1,11,6,18,18,9,5,4
Hartford Athletic - Saint Louis 0:1,United States. USL Championship,2020-10-11,GK,101,0,1.27,4,4,3,1,8,5,14,14,11,6,5
Saint Louis - Indy Eleven 2:1,United States. USL Championship,2020-10-04,GK,98,1,0.88,5,4,0,5,12,7,17,17,12,2,10
Saint Louis - Louisville City 0:1,United States. USL Championship,2020-09-27,GK,96,1,1,2,1,1,5,12,6,6,6,7,3,4
Indy Eleven - Saint Louis 1:1,United States. USL Championship,2020-09-24,GK,103,1,1.13,8,7,2,4,14,6,11,11,15,3,12
Louisville City - Saint Louis 3:0,United States. USL Championship,2020-09-13,GK,99,3,2.23,7,4,2,2,8,6,7,6,9,3,6
Saint Louis - Sporting Kansas City II 3:2,United States. USL Championship,2020-09-05,GK,99,2,1.04,3,1,1,1,8,4,9,9,11,5,6
Saint Louis - Louisville City 1:1,United States. USL Championship,2020-08-30,GK,93,1,1.25,5,4,3,7,12,10,17,14,5,0,5
Pittsburgh Riverhounds - Saint Louis 2:2,United States. USL Championship,2020-08-23,GK,97,2,2.27,7,5,4,4,8,2,28,28,5,4,1
Saint Louis - Sporting Kansas City II 3:1,United States. USL Championship,2020-08-16,GK,99,1,1.1,4,3,0,1,5,4,17,17,5,1,4
Saint Louis - FC Tulsa 0:2,United States. USL Championship,2020-08-09,GK,101,2,0.79,6,4,2,3,1,0,14,13,6,4,2
Memphis 901 - Saint Louis 1:0,United States. USL Championship,2020-08-02,GK,101,1,1.73,2,1,1,1,11,7,14,14,5,5,0
Saint Louis - Indy Eleven 1:0,United States. USL Championship,2020-07-26,GK,100,0,1.09,7,7,5,2,8,5,21,21,12,6,6
Louisville City - Saint Louis 0:1,United States. USL Championship,2020-07-19,GK,104,0,0.48,3,3,2,3,16,10,9,9,13,5,8
Indy Eleven - Saint Louis 2:0,United States. USL Championship,2020-07-12,GK,100,2,3.24,9,7,3,3,17,11,11,10,7,1,6
Saint Louis - Miami 4:1,United States. USL Championship,2020-03-08,GK,96,1,1.24,3,2,1,5,7,3,14,14,10,5,5
Pittsburgh Riverhounds - Louisville City 1:2 (E),United States. USL Championship,2019-11-03,GK,128,2,1.49,4,2,2,4,14,6,5,5,8,0,8
Pittsburgh Riverhounds - Birmingham Legion 7:0,United States. USL Championship,2019-10-27,GK,94,0,0.58,2,2,1,1,3,1,13,13,2,0,2
Birmingham Legion - Pittsburgh Riverhounds 0:1,United States. USL Championship,2019-10-20,GK,94,0,0.38,3,3,2,2,3,1,14,14,1,0,1
Saint Louis - Pittsburgh Riverhounds 0:1,United States. USL Championship,2019-10-13,GK,100,0,0,0,0,0,5,12,10,3,3,5,1,4
Pittsburgh Riverhounds - Atlanta United II 1:1,United States. USL Championship,2019-10-06,GK,96,1,1.24,2,1,1,1,7,5,3,3,7,0,7
Loudoun United - Pittsburgh Riverhounds 1:2,United States. USL Championship,2019-10-02,GK,96,1,0.71,1,0,0,1,7,3,10,10,7,2,5
Pittsburgh Riverhounds - Indy Eleven 3:0,United States. USL Championship,2019-09-29,GK,95,0,0.31,3,3,1,4,14,6,4,4,6,0,6
Nashville - Pittsburgh Riverhounds 0:0,United States. USL Championship,2019-09-22,GK,95,0,0.94,4,4,3,1,9,3,3,3,11,1,10
Pittsburgh Riverhounds - Charleston Battery 1:0,United States. USL Championship,2019-09-15,GK,95,0,0.36,2,2,2,2,7,3,6,6,4,0,4
Pittsburgh Riverhounds - Louisville City 0:0,United States. USL Championship,2019-09-08,GK,95,0,0.13,2,2,2,2,10,6,8,8,10,0,10
Ottawa Fury - Pittsburgh Riverhounds 0:4,United States. USL Championship,2019-08-31,GK,92,0,0.62,3,3,0,1,6,5,6,6,8,0,8
Pittsburgh Riverhounds - Loudoun United 1:0,United States. USL Championship,2019-08-24,GK,93,0,0.73,3,3,1,4,16,7,7,7,11,0,11
North Carolina FC - Pittsburgh Riverhounds 5:0,United States. USL Championship,2019-08-18,GK,94,5,4.32,9,4,3,2,7,2,13,13,6,3,3
New York RB II - Pittsburgh Riverhounds 1:2,United States. USL Championship,2019-08-15,GK,94,1,0.93,5,4,3,2,18,12,10,9,7,0,7
Pittsburgh Riverhounds - Memphis 901 4:0,United States. USL Championship,2019-08-04,GK,97,0,0.06,1,1,1,3,10,3,23,23,3,1,2
Hartford Athletic - Pittsburgh Riverhounds 2:4,United States. USL Championship,2019-07-27,GK,94,2,0.7,4,2,0,3,14,7,11,11,7,0,7
Pittsburgh Riverhounds - North Carolina FC 1:0,United States. USL Championship,2019-07-21,GK,99,0,0.78,4,4,1,2,15,8,9,9,9,0,9
Pittsburgh Riverhounds - Tampa Bay Rowdies 1:1,United States. USL Championship,2019-07-14,GK,98,1,1.52,4,3,0,3,10,1,6,6,7,1,6
Pittsburgh Riverhounds - Bethlehem Steel 1:0,United States. USL Championship,2019-07-05,GK,95,0,0.13,1,1,0,0,7,4,9,9,5,0,5
Pittsburgh Riverhounds - Birmingham Legion 4:1,United States. USL Championship,2019-06-30,GK,95,1,2.28,6,5,3,4,9,6,8,8,8,0,8
Pittsburgh Riverhounds - New York RB II 3:0,United States. USL Championship,2019-06-23,GK,96,0,1.04,5,5,3,2,13,6,8,8,6,0,6
Atlanta United II - Pittsburgh Riverhounds 0:5,United States. USL Championship,2019-06-16,GK,92,0,0.05,2,2,0,1,6,3,6,6,8,1,7
Columbus Crew - Pittsburgh Riverhounds 1:0,United States. US Open Cup,2019-06-12,GK,86,1,0.94,3,2,1,2,7,5,4,4,14,0,14
Pittsburgh Riverhounds - Indy Eleven 1:0,United States. US Open Cup,2019-05-30,GK,94,0,1.28,4,4,1,3,6,5,3,3,18,0,18
Charleston Battery - Pittsburgh Riverhounds 2:2,United States. USL Championship,2019-05-05,GK,96,2,1.3,4,2,2,3,14,10,7,7,10,0,10
Pittsburgh Riverhounds - Nashville 2:2,United States. USL Championship,2019-04-28,GK,96,2,2.37,3,1,1,2,6,3,10,10,4,2,2
Bethlehem Steel - Pittsburgh Riverhounds 2:2,United States. USL Championship,2019-03-31,GK,93,2,0.67,3,1,1,1,9,6,9,9,7,2,5
Tampa Bay Rowdies - Pittsburgh Riverhounds 2:0,United States. USL Championship,2019-03-17,GK,95,2,0.47,2,0,0,2,9,4,5,5,6,0,6
